item,T10,T12,T13,T16,T19,T23,T24,T25
US,2276.065907,7918.962726,15503.65029,5765.274947,16372.55054,577.7411746,9148.888301,942.7061863
AL,5386.718724,9270.817367,17387.42132,3386.202272,12777.87481,425.8743732,5150.929355,867.0165387
AK,5601.608321,8384.569494,6095.763721,8333.219828,5364.065041,4490.4397,4967.705555,1017.94
AZ,1226.971909,9363.475803,11628.93742,4049.001793,2408.574846,581.0008896,4034.603752,492.4653232
AR,2246.40883,10237.66546,19425.34019,7701.935391,9682.965217,1011.25384,5902.371173,651.856167
CA,1052.471948,7962.528975,19567.53892,5032.305784,13766.04818,304.7263302,13350.72223,985.5327612
CO,919.4677195,5983.001729,10646.91755,3921.190054,26649.7651,1990.898073,7889.185495,757.7998509
CT,2183.308011,5005.66464,12967.29136,8909.035963,37286.32717,167.3035074,6161.554692,1425.474457
DE,3256.24722,12273.40176,12424.47555,11514.64908,14508.35832,447.0510257,6188.253068,833.8914836
DC,926.5973974,19968.2711,3534.437515,3317.179807,13526.94639,13.00854826,5209.848817,864.844174
FL,1551.406128,6834.461628,13165.82333,5039.799902,4518.933855,78.2616181,6977.433505,1001.462841
GA,2112.267218,4987.991782,16515.36161,2251.541964,4811.601823,332.7669957,3771.708437,1093.740108
HI,3121.851579,13233.9751,4892.08474,7499.478286,21429.37103,42.49720486,12242.30455,22.59607478
ID,576.5855841,6219.510018,21270.12667,2562.392547,4016.091884,3142.601483,12186.22559,643.8539022
IL,2460.109271,4045.562244,18789.04209,7228.51252,29678.75458,313.5860735,19264.02059,1649.860178
IN,859.2019528,3445.393667,22684.22604,6022.764698,21985.61627,316.5025129,5162.359258,4087.498231
IA,931.860478,4495.496591,21064.30613,6272.62376,1559.970341,1111.709112,23784.05154,687.3088659
KS,5062.591859,15342.20446,15162.82597,4200.588035,1149.383816,1087.537382,8282.520775,979.433763
KY,3866.937944,4150.389574,15530.03835,9333.75553,20749.15196,695.1155297,4952.592748,511.1848451
LA,1713.363322,21703.90599,13825.66352,5808.21932,2403.839296,666.0330082,1838.27963,121.4368055
ME,1340.436439,7402.279054,16840.80747,10498.76637,11373.56071,1433.956949,9161.960387,956.8426082
MD,630.6633131,12273.47152,16605.71275,6287.733152,28148.27171,310.2544128,8432.726925,384.0728402
MA,1333.478309,7688.538404,9484.426348,5697.162535,10375.96803,90.66210376,6755.263824,1231.542458
MI,2345.03518,3478.653657,13318.00216,8830.581786,17225.84619,764.2238549,14505.21962,665.5240187
MN,1776.635126,11383.00448,14790.06021,10968.80296,35945.08315,1937.872047,16557.08311,1036.843223
MS,1551.438066,13486.16382,15250.07238,4775.85668,9360.296665,104.1502096,5761.418721,659.9570245
MO,750.6860408,7260.32173,11280.74501,1611.359029,2941.883422,667.8149438,5417.302895,279.3273
MT,4202.030867,12556.64525,24800.78682,6660.206269,7001.637096,6903.646358,17023.08839,718.3878173
NE,1799.695858,3542.454142,21142.32662,2841.276583,1124.542539,996.9168151,6008.085339,586.8440593
NV,1420.352517,15550.11089,11175.52684,5880.971344,10825.15839,447.0503133,6659.288927,958.6505475
NH,987.4559011,10010.77474,8446.816408,18090.0249,28838.59878,929.7263794,6803.579086,735.132486
NJ,1884.902192,6895.83178,4166.752536,6491.330725,21827.90799,172.5190686,7348.552718,652.6462509
NM,1150.813279,11104.85917,10880.40358,4499.033154,7655.348454,1293.63148,10110.09238,236.4082947
NY,1365.162328,10469.52455,7378.474583,5070.036035,29826.69211,202.3619096,7147.841228,679.0484921
NC,5052.193924,6863.665467,20000.67197,2908.956514,11080.11302,374.7438099,9412.89821,1130.402233
ND,1235.580396,7607.072065,22258.57206,3356.068767,21103.84686,2379.122136,15122.87675,692.3466515
OH,1009.37222,5666.878777,21458.32721,7890.72606,19181.71879,413.3252842,4285.80706,706.0233373
OK,3678.594918,11246.74755,14316.60706,11611.8986,3945.279958,682.722723,20363.34709,537.9551391
OR,424.9229554,1166.106438,14550.96808,8879.094782,29923.28315,1504.146441,18697.45584,1144.984812
PA,3422.986324,6550.085578,23294.64537,9929.742864,17791.59624,665.2213919,10046.3424,729.2543017
RI,2015.706687,13335.46038,11860.14394,14465.28439,20915.7828,201.7347548,2567.765284,733.7383829
SC,4014.622012,5271.133811,16141.36461,545.0519962,10632.07623,420.8334408,5825.024176,94.64179189
SD,2234.077691,10049.83463,21188.1977,5839.109806,16036.46208,3583.830638,9952.86577,663.0482813
TN,3023.785685,15910.11991,17375.81818,3486.133233,8981.924131,639.1469086,5564.889025,701.4572027
TX,4272.068778,9133.108092,12168.57319,4727.19114,22067.22153,418.5783324,7513.529613,633.6001275
UT,535.4715459,4971.230384,16014.37268,3193.452872,8822.223147,976.9959867,7271.092652,885.7442081
VT,1860.204151,9790.686459,16932.41748,11974.70679,72396.17789,1318.913338,11676.5486,2235.645438
VA,3412.943777,6364.580909,16424.89372,3324.983988,24653.15948,318.8268024,5825.952816,926.7253951
WA,6109.864102,8831.69514,19614.9337,4995.126438,16568.87031,616.7235841,12895.87759,1625.670397
WV,969.1261847,6612.113181,22376.7114,9587.482904,31843.55758,857.0023623,255.4989398,8339.391305
WI,1254.706339,3852.501853,19114.80772,10273.58204,7286.218383,1254.6043,12227.76616,700.107022
WY,386.2063253,6252.297306,19197.11191,3719.349834,580.5174613,7416.093311,17677.48148,806.7536062
